spec_T,Surname,Name,OCC,Diameter,TOF,Launch_date,Min_dv,Duration,Stay
Other,1898 DQ,Eros,0,16.84,270.0,2025-08-13 00:00:00,14.41,348,8
0.8902148008346558,1911 MT,Albert,0,4.39,180.0,2048-04-22 00:00:00,23.15,448,8
Other,1918 DB,Alinda,0,4.2,420.0,2025-01-01 00:00:00,20.59,388,8
Other,1924 TD,Ganymed,0,37.675,160.0,2037-05-18 00:00:00,31.36,348,8
Other,1950 KA,Betulia,0,5.8,440.0,2027-12-09 00:00:00,40.73,350,10
Other,1951 RA,Geographos,0,2.56,440.0,2040-02-20 00:00:00,14.38,370,10
Other,1929 SH,Ivar,0,9.12,140.0,2046-03-16 00:00:00,16.11,328,8
Other,1948 OA,Toro,0,3.4,420.0,2044-04-03 00:00:00,14.91,450,10
0.2114996314048767,1932 HA,Apollo,0,1.5,190.0,2048-03-21 00:00:00,15.14,396,16
Other,1948 EA,Antinous,0,2.1,440.0,2042-07-27 00:00:00,21.53,408,8
Other,1971 FA,Daedalus,0,3.7,440.0,2040-03-31 00:00:00,21.87,362,32
Other,1971 UA,Cerberus,0,1.2,370.0,2044-10-28 00:00:00,15.4,370,80
0.16902607679367065,1972 XA,Sisyphus,0,8.48,430.0,2032-05-28 00:00:00,33.37,364,14
0.16825145483016968,1953 EA,Quetzalcoatl,0,0.5,440.0,2049-06-12 00:00:00,28.71,448,8
Other,1953 RA,Boreas,0,3.5,210.0,2042-03-13 00:00:00,23.73,368,8
0.1114504337310791,1968 AA,Cuyo,0,5.7,440.0,2030-03-20 00:00:00,23.54,370,10
Other,1973 EC,Anteros,0,2.3,400.0,2038-03-02 00:00:00,11.5,444,24
Other,1950 LA,Tezcatlipoca,0,4.3,420.0,2034-11-20 00:00:00,25.41,373,13
0.812687873840332,1973 EA,Midas,0,3.4,80.0,2031-10-17 00:00:00,32.52,338,38
0.90574711561203,1960 UA,Anza,0,2.6,60.0,2034-11-20 00:00:00,15.53,323,8
Other,1976 AA,Aten,0,1.1,220.0,2032-06-13 00:00:00,12.4,393,18
0.8777152299880981,1977 HB,Bacchus,0,1.97,110.0,2043-01-27 00:00:00,10.05,443,98
Other,1978 RA,Ra-Shalom,0,2.3,190.0,2044-03-02 00:00:00,16.74,378,33
0.4708479642868042,1975 YA,Tantalus,0,1.649,150.0,2035-07-08 00:00:00,36.31,353,38
0.03723257780075073,1947 XC,Oljato,0,1.8,380.0,2040-10-09 00:00:00,17.72,413,8
0.02743774652481079,1978 SB,Hephaistos,0,5.7,420.0,2038-10-20 00:00:00,26.44,413,23
Other,1976 UA,Hathor,0,0.3,130.0,2045-07-25 00:00:00,12.92,443,8
Other,1977 RA,Beltrovata,0,2.3,240.0,2035-05-19 00:00:00,18.17,418,13
Other,1978 DA,Seneca,1,0.9,440.0,2049-07-24 00:00:00,33.02,433,28
0.9589198231697083,1981 QA,Krok,0,1.6,440.0,2041-07-06 00:00:00,20.01,428,8
0.28984004259109497,1982 BB,Eger,0,1.5,380.0,2049-02-14 00:00:00,23.82,368,8
0.2289244532585144,1981 ET3,Florence,0,4.9,340.0,2031-03-11 00:00:00,22.38,353,8
Other,1982 RA,Nefertiti,0,2.2,360.0,2049-03-16 00:00:00,30.88,353,8
Other,1983 TB,Phaethon,0,6.25,280.0,2025-07-20 00:00:00,29.5,448,13
Other,1982 DV,Seleucus,0,2.8,440.0,2036-08-21 00:00:00,17.24,443,8
0.8902148008346558,1981 CW,McAuliffe,0,3.8,340.0,2047-12-12 00:00:00,16.19,413,8
0.2507826089859009,1983 RD,Verenia,0,0.9,440.0,2025-02-20 00:00:00,29.49,413,8
Other,1983 SA,Don Quixote,0,19.0,280.0,2044-03-22 00:00:00,41.48,353,8
0.5010130405426025,1984 KD,Dionysus,0,1.5,420.0,2035-09-16 00:00:00,21.78,443,8
0.12182414531707764,1982 FT,Bede,0,4.3,250.0,2033-08-07 00:00:00,23.86,403,13
0.019483745098114014,1986 TO,Cruithne,0,2.071,150.0,2025-08-09 00:00:00,23.92,448,73
Other,1982 XB,Anagolay,0,0.5,350.0,2049-03-26 00:00:00,15.28,443,8
0.4121955633163452,1980 PA,Nyx,0,1.0,360.0,2028-01-26 00:00:00,16.56,448,13
0.1539294719696045,1979 VA,Wilson-Harrington,0,4.0,260.0,2038-12-09 00:00:00,14.65,338,8
0.05988377332687378,1986 PA,Vishnu,0,0.42,430.0,2045-06-15 00:00:00,13.18,443,8
0.07485955953598022,1985 DO2,Magellan,0,2.49,420.0,2042-06-11 00:00:00,23.9,443,38
0.9684566259384155,1989 AC,Toutatis,0,5.4,440.0,2028-01-26 00:00:00,22.22,448,13
0.06350624561309814,1959 LM,Cuno,0,3.651,330.0,2028-07-24 00:00:00,20.72,428,23
0.031303465366363525,1982 TA,Morpheus,0,1.8,320.0,2027-03-12 00:00:00,27.05,443,8
0.6940314769744873,1987 KF,Poseidon,0,3.63,420.0,2036-07-02 00:00:00,21.2,403,43
0.8902148008346558,1989 WM,Cleobulus,0,3.9,340.0,2029-09-07 00:00:00,21.12,428,8
0.8243685960769653,1982 DB,Nereus,0,0.33,440.0,2030-02-14 00:00:00,8.88,398,8
0.3213415741920471,1980 WF,,0,0.6,440.0,2030-04-15 00:00:00,16.95,398,8
0.96635901927948,1988 TJ1,Ninkasi,0,1.39,230.0,2049-04-05 00:00:00,16.25,388,13
0.16634738445281982,1990 SQ,Eric,0,10.8,220.0,2041-02-16 00:00:00,21.21,398,8
0.33432143926620483,1990 XJ,Brucemurray,0,3.499,190.0,2032-10-31 00:00:00,28.35,403,13
0.8583541512489319,1990 BG,,0,6.06,410.0,2039-01-18 00:00:00,28.36,358,13
0.02676945924758911,1991 VL,Heracles,0,4.843,290.0,2026-08-14 00:00:00,24.33,433,28
0.076083242893219,1990 SB,,0,3.57,410.0,2037-08-16 00:00:00,24.86,413,8
0.027310192584991455,1992 FE,,0,0.55,330.0,2042-12-18 00:00:00,9.92,423,33
0.8902148008346558,1991 FE,Melissabrucker,0,7.88,390.0,2035-03-10 00:00:00,18.96,443,8
0.053782522678375244,1990 TR,,0,4.3,150.0,2037-05-18 00:00:00,18.53,448,13
0.809565007686615,1974 MA,,0,4.43,440.0,2030-12-21 00:00:00,31.87,398,8
0.06497108936309814,1992 AC,Zao,0,2.3,320.0,2049-06-14 00:00:00,24.01,398,8
0.809565007686615,1991 AM,,0,3.63,440.0,2044-02-01 00:00:00,27.42,363,33
0.90574711561203,1993 MF,,0,5.76,400.0,2034-11-10 00:00:00,21.68,383,8
0.9600441455841064,1991 TB1,,0,1.54,370.0,2026-02-25 00:00:00,21.38,398,8
0.2221727967262268,1993 BW3,,0,3.72,410.0,2042-01-22 00:00:00,23.86,383,8
0.11670839786529541,1992 HE,,0,4.626,440.0,2031-09-17 00:00:00,33.01,398,8
0.37788206338882446,1991 JX,Golevka,0,0.53,420.0,2041-07-16 00:00:00,17.05,443,8
0.9441240429878235,1993 MO,Ondaatje,0,2.56,380.0,2049-04-15 00:00:00,22.14,448,58
0.938938319683075,1993 VW,,0,2.42,270.0,2035-11-05 00:00:00,15.89,373,13
0.8902148008346558,1989 RS1,Saunders,0,0.97,170.0,2038-06-12 00:00:00,18.89,433,13
0.8725038766860962,1991 VK,,0,2.38,440.0,2026-03-07 00:00:00,14.47,323,8
0.90574711561203,1995 YA3,Oze,0,6.44,440.0,2046-12-27 00:00:00,19.3,398,8
0.9557381272315979,1992 TC,,0,1.42,350.0,2039-06-17 00:00:00,14.3,368,8
0.9557381272315979,1994 PC,Norwan,0,2.18,380.0,2047-01-06 00:00:00,14.47,383,8
0.5842177867889404,1994 PC1,,0,1.052,200.0,2035-07-18 00:00:00,22.48,368,8
0.9410722255706787,1988 XB,,0,1.42,180.0,2045-04-26 00:00:00,12.83,393,18
0.750653088092804,1991 CS,,0,1.602,180.0,2034-03-05 00:00:00,21.03,358,28
0.8503686189651489,1993 UC,,0,5.33,440.0,2035-06-18 00:00:00,29.79,448,13
0.3117334246635437,1994 LX,,0,1.68,290.0,2048-07-19 00:00:00,24.84,358,43
0.8902148008346558,1977 QQ5,,0,5.18,280.0,2049-12-31 00:00:00,27.01,398,8
0.8080198764801025,1991 WA,,0,2.37,440.0,2026-12-02 00:00:00,41.84,428,68
0.17323380708694458,1994 AH2,,0,1.859,440.0,2025-08-09 00:00:00,32.98,413,8
0.49645376205444336,1996 EN,,0,1.568,390.0,2032-09-21 00:00:00,26.96,353,8
0.8959631323814392,1994 TW1,,0,5.97,270.0,2044-03-22 00:00:00,30.7,368,8
0.4978531002998352,1992 SK,,0,0.938,130.0,2030-09-22 00:00:00,15.46,378,33
0.2147321105003357,1995 BL2,,0,0.829,330.0,2035-01-29 00:00:00,21.47,378,48
0.9648019671440125,1989 ML,,0,0.73,230.0,2045-07-05 00:00:00,8.59,428,8
0.8821925520896912,1993 WD,Izhdubar,0,2.5,400.0,2049-11-11 00:00:00,47.92,373,13
0.23634356260299683,1992 CC1,Sigurd,0,2.104,270.0,2045-03-07 00:00:00,26.66,368,23
0.90574711561203,1993 XN2,Peleus,0,3.4,440.0,2030-06-14 00:00:00,26.76,338,8
0.323988139629364,1998 YP11,,0,1.316,180.0,2025-07-30 00:00:00,17.99,383,8
0.9447842240333557,1999 CV3,,0,5.01,360.0,2042-07-11 00:00:00,18.77,398,38
0.49990391731262207,1989 UR,Tomaiyowit,0,0.738,420.0,2025-08-19 00:00:00,11.89,448,43
0.5217567682266235,1998 OH,,0,1.663,440.0,2041-05-17 00:00:00,19.56,353,8
0.9406335353851318,1991 BB,Tukmit,0,3.75,300.0,2035-01-19 00:00:00,24.9,363,48
0.1114504337310791,1999 GK4,Zephyr,0,2.06,320.0,2031-09-17 00:00:00,15.0,398,8
